予約ID,顧客ID,部屋番号,宿泊人数,チェックイン日,チェックアウト日,チェックイン時間,チェックアウト時間,宿泊プラン,予約経路,客層,シーズン区分
R03134,c1415,205,1,2025-10-19,2025-10-20,20:00,9:00,素泊まり,直接,その他,通常期
R03135,c0230,212,1,2025-10-19,2025-10-21,16:00,5:00,素泊まり,OTA,登山,通常期
R03136,c0754,206,2,2025-10-19,2025-10-20,15:00,7:00,,直接,登山,通常期
R03137,c1693,216,2,2025-10-19,2025-10-21,17:00,10:00,朝食付き,直接,観光,通常期
R03138,c0464,211,1,2025-10-19,2025-10-20,16:00,10:00,朝食付き,OTA,登山,通常期
R03139,c1019,213,1,2025-10-19,2025-10-20,15:00,8:00,素泊まり,直接,登山,通常期
R03140,c1955,202,1,2025-10-19,2025-10-20,19:00,10:00,朝食付き,OTA,その他,通常期
R03141,c0047,215,1,2025-10-20,2025-10-22,15:00,9:00,朝食付き,OTA,観光,通常期
R03142,c1466,213,1,2025-10-20,2025-10-22,19:00,9:00,朝食付き,OTA,遠征,通常期
R03143,c0652,203,1,2025-10-20,2025-10-24,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R03144,c0374,202,1,2025-10-20,2025-10-21,16:00,9:00,朝食付き,直接,観光,通常期
R03145,c1806,211,1,2025-10-20,2025-10-22,16:00,9:00,素泊まり,直接,登山,通常期
R03146,c1184,101,2,2025-10-20,2025-10-21,19:00,9:00,朝食付き,直接,遠征,通常期
R03147,c0692,210,2,2025-10-20,2025-10-22,17:00,9:00,朝食付き,OTA,観光,通常期
R03148,c1601,208,1,2025-10-20,2025-10-21,18:00,9:00,素泊まり,OTA,その他,通常期
R03149,c0423,201,2,2025-10-20,2025-10-21,15:00,8:00,素泊まり,OTA,登山,通常期
R03150,c1424,209,1,2025-10-20,2025-10-21,15:00,6:00,素泊まり,直接,登山,通常期
R03151,c1060,216,2,2025-10-20,2025-10-23,16:00,10:00,朝食付き,OTA,観光,通常期
R03152,c0267,214,1,2025-10-20,2025-10-22,15:00,8:00,素泊まり,OTA,登山,通常期
R03153,c0077,202,1,2025-10-21,2025-10-24,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R03154,c0519,208,1,2025-10-21,2025-10-22,17:00,9:00,素泊まり,OTA,観光,通常期
R03155,c0149,217,2,2025-10-21,2025-10-22,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R03156,c0156,206,1,2025-10-21,2025-10-24,18:00,7:00,2食付き,OTA,ビジネス,通常期
R03157,c0777,205,2,2025-10-21,2025-10-22,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R03158,c1740,101,1,2025-10-21,2025-10-25,17:00,8:00,朝食付き,直接,ビジネス,通常期
R03159,c0559,213,2,2025-10-21,2025-10-24,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R03160,c0015,215,1,2025-10-21,2025-10-24,18:00,8:00,素泊まり,直接,ビジネス,通常期
R03161,c1984,203,2,2025-10-21,2025-10-22,18:00,10:00,素泊まり,OTA,その他,通常期
R03162,c1489,212,2,2025-10-21,2025-10-23,17:00,9:00,朝食付き,OTA,観光,通常期
R03163,c1792,216,1,2025-10-21,2025-10-23,17:00,6:00,素泊まり,OTA,登山,通常期
R03164,c1239,209,1,2025-10-21,2025-10-25,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R03165,c1646,213,2,2025-10-22,2025-10-24,15:00,9:00,素泊まり,直接,登山,通常期
R03166,c1151,202,2,2025-10-22,2025-10-23,15:00,7:00,朝食付き,OTA,登山,通常期
R03167,c1660,207,2,2025-10-22,2025-10-24,16:00,5:00,素泊まり,OTA,登山,通常期
R03168,c0728,209,2,2025-10-22,2025-10-25,17:00,8:00,2食付き,OTA,ビジネス,通常期
R03169,c1520,201,2,2025-10-22,2025-10-24,17:00,7:00,素泊まり,OTA,登山,通常期
R03170,c0016,205,1,2025-10-22,2025-10-24,19:00,8:00,素泊まり,直接,遠征,通常期
R03171,c1357,211,2,2025-10-22,2025-10-23,20:00,9:00,素泊まり,直接,その他,通常期
R03172,c1458,206,1,2025-10-22,2025-10-24,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R03173,c0187,215,1,2025-10-22,2025-10-24,16:00,10:00,素泊まり,OTA,登山,通常期
R03174,c0582,203,2,2025-10-22,2025-10-24,17:00,9:00,素泊まり,OTA,観光,通常期
R03175,c1925,101,2,2025-10-22,2025-10-23,17:00,10:00,素泊まり,直接,その他,通常期
R03176,c0307,212,1,2025-10-22,2025-10-25,17:00,7:00,素泊まり,直接,ビジネス,通常期
R03177,c1349,203,2,2025-10-23,2025-10-26,17:00,10:00,朝食付き,OTA,観光,通常期
R03178,c0668,213,2,2025-10-23,2025-10-26,15:00,9:00,2食付き,OTA,観光,通常期
R03179,c1148,206,1,2025-10-23,2025-10-26,16:00,9:00,2食付き,直接,観光,通常期
R03180,c1069,101,2,2025-10-23,2025-10-24,17:00,8:00,2食付き,OTA,登山,通常期
R03181,c0854,217,1,2025-10-23,2025-10-24,16:00,10:00,素泊まり,直接,登山,通常期
R03182,c0212,207,1,2025-10-23,2025-10-25,16:00,8:00,素泊まり,直接,登山,通常期
R03183,c1881,211,2,2025-10-23,2025-10-25,16:00,9:00,朝食付き,直接,観光,通常期
R03184,c1371,215,2,2025-10-23,2025-10-25,17:00,6:00,素泊まり,OTA,登山,通常期
R03185,c1148,214,1,2025-10-23,2025-10-26,16:00,10:00,素泊まり,OTA,観光,通常期
R03186,c1490,208,1,2025-10-23,2025-10-25,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R03187,c1259,205,2,2025-10-23,2025-10-25,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R03188,c0417,209,1,2025-10-23,2025-10-24,15:00,10:00,朝食付き,OTA,観光,通常期
R03189,c1691,217,1,2025-10-24,2025-10-26,19:00,8:00,素泊まり,OTA,遠征,通常期
R03190,c0020,205,1,2025-10-24,2025-10-25,15:00,6:00,素泊まり,OTA,登山,通常期
R03191,c1502,211,2,2025-10-24,2025-10-26,17:00,5:00,素泊まり,OTA,登山,通常期
R03192,c1722,207,1,2025-10-24,2025-10-26,17:00,6:00,素泊まり,OTA,登山,通常期
R03193,c1424,201,2,2025-10-24,2025-10-25,16:00,9:00,素泊まり,直接,登山,通常期
R03194,c1746,210,2,2025-10-24,2025-10-28,18:00,7:00,朝食付き,直接,ビジネス,通常期
R03195,c0965,214,2,2025-10-24,2025-10-26,19:00,9:00,素泊まり,直接,遠征,通常期
R03196,c0977,213,2,2025-10-24,2025-10-26,17:00,8:00,,直接,ビジネス,通常期
R03197,c0306,216,1,2025-10-24,2025-10-25,15:00,7:00,素泊まり,直接,登山,通常期
R03198,c1523,202,2,2025-10-24,2025-10-25,21:00,9:00,素泊まり,直接,その他,通常期
R03199,c0021,203,1,2025-10-24,2025-10-26,15:00,7:00,2食付き,直接,登山,通常期
R03200,c1055,206,2,2025-10-24,2025-10-26,15:00,10:00,素泊まり,直接,観光,通常期
R03201,c1451,215,1,2025-10-24,2025-10-28,18:00,8:00,素泊まり,直接,ビジネス,通常期
R03202,c1802,216,1,2025-10-25,2025-10-26,18:00,10:00,朝食付き,OTA,遠征,通常期
R03203,c0473,210,1,2025-10-25,2025-10-27,17:00,6:00,素泊まり,OTA,登山,通常期
R03204,c0473,201,2,2025-10-25,2025-10-28,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R03205,c1188,205,1,2025-10-25,2025-10-26,16:00,10:00,素泊まり,OTA,登山,通常期
R03206,c0640,203,1,2025-10-25,2025-10-27,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R03207,c0478,202,1,2025-10-25,2025-10-26,17:00,8:00,素泊まり,直接,ビジネス,通常期
R03208,c0169,207,1,2025-10-25,2025-10-26,19:00,9:00,素泊まり,OTA,遠征,通常期
R03209,c0207,209,2,2025-10-25,2025-10-28,17:00,9:00,素泊まり,直接,観光,通常期
R03210,c0034,213,2,2025-10-25,2025-10-26,19:00,9:00,朝食付き,OTA,遠征,通常期
R03211,c0197,101,2,2025-10-25,2025-10-27,16:00,7:00,素泊まり,OTA,登山,通常期
R03212,c0062,214,2,2025-10-25,2025-10-26,19:00,10:00,朝食付き,OTA,遠征,通常期
R03213,c0419,215,2,2025-10-25,2025-10-29,17:00,8:00,朝食付き,直接,ビジネス,通常期
R03214,c1244,208,2,2025-10-25,2025-10-27,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R03215,c0338,212,1,2025-10-25,2025-10-26,18:00,8:00,朝食付き,直接,遠征,通常期
R03216,c1490,206,1,2025-10-25,2025-10-29,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R03217,c0826,211,2,2025-10-25,2025-10-29,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R03218,c1182,217,2,2025-10-25,2025-10-29,18:00,7:00,2食付き,OTA,ビジネス,通常期
R03219,c1081,215,2,2025-10-26,2025-10-28,17:00,9:00,2食付き,直接,観光,通常期
R03220,c1160,214,2,2025-10-26,2025-10-30,18:00,7:00,素泊まり,直接,ビジネス,通常期
R03221,c1222,208,2,2025-10-26,2025-10-28,18:00,10:00,朝食付き,OTA,遠征,通常期
R03222,c1614,202,2,2025-10-26,2025-10-28,15:00,6:00,素泊まり,OTA,登山,通常期
R03223,c1052,206,2,2025-10-26,2025-10-29,17:00,10:00,素泊まり,OTA,観光,通常期
R03224,c1926,211,1,2025-10-26,2025-10-27,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R03225,c1475,217,1,2025-10-26,2025-10-28,18:00,8:00,朝食付き,OTA,ビジネス,通常期
R03226,c0134,101,2,2025-10-26,2025-10-28,17:00,8:00,素泊まり,直接,登山,通常期
R03227,c1064,209,2,2025-10-26,2025-10-27,17:00,7:00,朝食付き,直接,ビジネス,通常期
R03228,c0847,201,2,2025-10-26,2025-10-27,20:00,9:00,朝食付き,直接,その他,通常期
R03229,c1291,212,2,2025-10-26,2025-10-27,17:00,8:00,素泊まり,OTA,登山,通常期
R03230,c1882,203,2,2025-10-26,2025-10-27,21:00,9:00,素泊まり,直接,その他,通常期
R03231,c1539,216,2,2025-10-26,2025-10-28,17:00,9:00,素泊まり,直接,登山,通常期
R03232,c1012,213,1,2025-10-26,2025-10-28,16:00,9:00,朝食付き,直接,登山,通常期
R03233,c1935,205,2,2025-10-27,2025-10-28,21:00,9:00,素泊まり,直接,その他,通常期
R03234,c0180,213,1,2025-10-27,2025-10-28,17:00,7:00,素泊まり,OTA,登山,通常期
R03235,c1889,208,1,2025-10-27,2025-10-29,17:00,8:00,素泊まり,OTA,登山,通常期
R03236,c0654,101,1,2025-10-27,2025-10-30,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R03237,c1169,211,2,2025-10-27,2025-10-30,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R03238,c0734,206,2,2025-10-27,2025-10-28,16:00,6:00,素泊まり,OTA,登山,通常期
R03239,c0797,217,1,2025-10-27,2025-10-28,15:00,9:00,2食付き,OTA,観光,通常期
R03240,c0860,214,2,2025-10-27,2025-10-28,15:00,9:00,素泊まり,OTA,観光,通常期
R03241,c0566,201,2,2025-10-27,2025-10-30,17:00,7:00,素泊まり,直接,ビジネス,通常期
R03242,c0382,207,1,2025-10-27,2025-10-28,17:00,10:00,朝食付き,OTA,登山,通常期
R03243,c0838,203,1,2025-10-27,2025-10-29,18:00,8:00,2食付き,OTA,ビジネス,通常期
R03244,c0454,202,1,2025-10-27,2025-10-28,15:00,7:00,素泊まり,OTA,登山,通常期
R03245,c0643,210,2,2025-10-28,2025-11-01,18:00,7:00,素泊まり,直接,ビジネス,通常期
R03246,c0396,208,1,2025-10-28,2025-10-29,15:00,9:00,素泊まり,OTA,登山,通常期
R03247,c1754,205,2,2025-10-28,2025-10-29,15:00,6:00,朝食付き,OTA,登山,通常期
R03248,c1656,201,1,2025-10-28,2025-10-30,17:00,9:00,朝食付き,OTA,観光,通常期
R03249,c0075,217,2,2025-10-28,2025-10-29,18:00,9:00,朝食付き,OTA,遠征,通常期
R03250,c1091,203,2,2025-10-28,2025-10-31,17:00,9:00,2食付き,OTA,観光,通常期
R03251,c1315,214,2,2025-10-28,2025-10-31,16:00,9:00,朝食付き,OTA,観光,通常期
R03252,c1438,215,1,2025-10-28,2025-10-30,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R03253,c1181,212,2,2025-10-28,2025-10-30,17:00,7:00,素泊まり,直接,ビジネス,通常期
R03254,c0979,216,1,2025-10-28,2025-10-31,17:00,7:00,2食付き,OTA,ビジネス,通常期
R03255,c0523,101,1,2025-10-28,2025-10-30,17:00,10:00,朝食付き,OTA,観光,通常期
R03256,c1878,206,1,2025-10-28,2025-10-30,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R03257,c0345,209,1,2025-10-29,2025-10-31,15:00,10:00,朝食付き,OTA,観光,通常期
R03258,c0270,201,1,2025-10-29,2025-11-01,15:00,9:00,2食付き,OTA,観光,通常期
R03259,c1792,216,2,2025-10-29,2025-10-30,18:00,8:00,素泊まり,OTA,遠征,通常期
R03260,c1672,205,2,2025-10-29,2025-10-30,16:00,6:00,素泊まり,OTA,登山,通常期
R03261,c1442,203,2,2025-10-29,2025-11-01,17:00,9:00,2食付き,OTA,観光,通常期
R03262,c0705,215,1,2025-10-29,2025-10-31,17:00,9:00,2食付き,直接,観光,通常期
R03263,c1610,217,2,2025-10-29,2025-10-30,17:00,8:00,素泊まり,直接,ビジネス,通常期
R03264,c1720,210,1,2025-10-29,2025-10-30,16:00,7:00,素泊まり,OTA,登山,通常期
R03265,c1722,206,1,2025-10-29,2025-10-31,15:00,7:00,素泊まり,OTA,登山,通常期
R03266,c1210,211,2,2025-10-29,2025-10-31,16:00,10:00,素泊まり,OTA,観光,通常期
R03267,c0698,101,2,2025-10-29,2025-10-30,16:00,6:00,素泊まり,OTA,登山,通常期
R03268,c0529,202,1,2025-10-29,2025-11-01,17:00,10:00,朝食付き,直接,観光,通常期
R03269,c1905,202,2,2025-10-30,2025-11-02,17:00,7:00,素泊まり,直接,ビジネス,通常期
R03270,c0176,214,2,2025-10-30,2025-11-01,18:00,8:00,素泊まり,直接,ビジネス,通常期
R03271,c0253,211,2,2025-10-30,2025-11-02,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R03272,c1603,209,2,2025-10-30,2025-11-01,19:00,10:00,2食付き,直接,遠征,通常期
R03273,c1575,216,2,2025-10-30,2025-11-01,15:00,5:00,素泊まり,OTA,登山,通常期
R03274,c0820,208,2,2025-10-30,2025-11-01,17:00,9:00,素泊まり,OTA,登山,通常期
R03275,c1006,210,2,2025-10-30,2025-11-03,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R03276,c0303,212,2,2025-10-30,2025-11-02,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R03277,c1703,217,1,2025-10-30,2025-11-01,18:00,7:00,,OTA,ビジネス,通常期
R03278,c1958,201,1,2025-10-30,2025-11-02,18:00,7:00,素泊まり,直接,ビジネス,通常期
R03279,c1473,213,1,2025-10-30,2025-11-02,17:00,8:00,素泊まり,直接,ビジネス,通常期
R03280,c0471,101,2,2025-10-30,2025-11-03,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R03281,c1887,206,2,2025-10-31,2025-11-02,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R03282,c1431,207,1,2025-10-31,2025-11-01,17:00,5:00,素泊まり,直接,登山,通常期
R03283,c0404,205,2,2025-10-31,2025-11-04,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R03284,c1901,211,1,2025-10-31,2025-11-03,15:00,10:00,素泊まり,直接,観光,通常期
R03285,c1773,101,1,2025-10-31,2025-11-01,15:00,9:00,朝食付き,OTA,観光,通常期
R03286,c0837,214,2,2025-10-31,2025-11-01,19:00,8:00,2食付き,直接,遠征,通常期
R03287,c0970,209,2,2025-10-31,2025-11-03,16:00,9:00,朝食付き,直接,観光,通常期
R03288,c1029,215,1,2025-10-31,2025-11-02,15:00,8:00,素泊まり,OTA,登山,通常期
R03289,c0381,203,1,2025-10-31,2025-11-02,17:00,6:00,素泊まり,直接,登山,通常期
R03290,c1551,202,1,2025-10-31,2025-11-01,17:00,8:00,2食付き,OTA,ビジネス,通常期
R03291,c1080,210,1,2025-10-31,2025-11-02,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R03292,c1875,201,2,2025-10-31,2025-11-01,16:00,10:00,朝食付き,OTA,観光,通常期
R03293,c1696,212,2,2025-10-31,2025-11-03,17:00,10:00,素泊まり,OTA,観光,通常期
R03294,c1683,214,1,2025-11-01,2025-11-02,19:00,9:00,素泊まり,OTA,遠征,通常期
R03295,c0280,205,2,2025-11-01,2025-11-04,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R03296,c0527,203,2,2025-11-01,2025-11-02,19:00,9:00,朝食付き,OTA,遠征,通常期
R03297,c0729,216,1,2025-11-01,2025-11-02,18:00,9:00,素泊まり,OTA,遠征,通常期
R03298,c1908,206,1,2025-11-01,2025-11-03,16:00,7:00,素泊まり,OTA,登山,通常期
R03299,c0743,217,1,2025-11-01,2025-11-04,16:00,9:00,2食付き,OTA,観光,通常期
R03300,c0958,211,1,2025-11-01,2025-11-04,18:00,7:00,朝食付き,OTA,ビジネス,通常期
R03301,c1229,209,2,2025-11-01,2025-11-02,17:00,7:00,素泊まり,OTA,登山,通常期
R03302,c1087,215,1,2025-11-01,2025-11-03,17:00,10:00,素泊まり,直接,登山,通常期
R03303,c0315,202,2,2025-11-01,2025-11-03,15:00,9:00,素泊まり,OTA,観光,通常期
R03304,c1777,208,1,2025-11-01,2025-11-05,17:00,7:00,素泊まり,直接,ビジネス,通常期
R03305,c0659,207,2,2025-11-01,2025-11-02,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R03306,c0640,213,1,2025-11-01,2025-11-03,15:00,7:00,素泊まり,OTA,登山,通常期
R03307,c0014,212,2,2025-11-01,2025-11-03,16:00,10:00,,OTA,観光,通常期
R03308,c0921,201,2,2025-11-01,2025-11-03,16:00,10:00,素泊まり,OTA,観光,通常期
R03309,c0261,210,1,2025-11-01,2025-11-03,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R03310,c1562,101,2,2025-11-01,2025-11-03,17:00,6:00,素泊まり,OTA,登山,通常期
R03311,c1479,206,2,2025-11-02,2025-11-04,17:00,7:00,2食付き,OTA,ビジネス,通常期
R03312,c0824,201,2,2025-11-02,2025-11-03,21:00,9:00,素泊まり,直接,その他,通常期
R03313,c1339,209,2,2025-11-02,2025-11-05,18:00,7:00,素泊まり,直接,ビジネス,通常期
R03314,c1762,216,2,2025-11-02,2025-11-05,17:00,7:00,2食付き,OTA,ビジネス,通常期
R03315,c0482,215,2,2025-11-02,2025-11-05,17:00,7:00,素泊まり,直接,ビジネス,通常期
R03316,c1945,210,1,2025-11-02,2025-11-03,18:00,7:00,朝食付き,直接,ビジネス,通常期
R03317,c1680,101,2,2025-11-02,2025-11-04,17:00,10:00,2食付き,OTA,観光,通常期
R03318,c0214,217,1,2025-11-02,2025-11-03,17:00,8:00,朝食付き,直接,ビジネス,通常期
R03319,c0819,202,2,2025-11-02,2025-11-05,16:00,10:00,朝食付き,直接,観光,通常期
R03320,c0148,207,1,2025-11-02,2025-11-04,16:00,9:00,朝食付き,OTA,観光,通常期
R03321,c1668,208,1,2025-11-02,2025-11-06,18:00,7:00,朝食付き,直接,ビジネス,通常期
R03322,c0394,205,1,2025-11-02,2025-11-04,18:00,9:00,朝食付き,OTA,遠征,通常期
R03323,c0193,203,1,2025-11-02,2025-11-06,18:00,7:00,素泊まり,直接,ビジネス,通常期
R03324,c0376,214,1,2025-11-02,2025-11-04,19:00,10:00,2食付き,OTA,遠征,通常期
R03325,c0179,216,1,2025-11-03,2025-11-05,17:00,8:00,2食付き,OTA,ビジネス,通常期
R03326,c0513,213,2,2025-11-03,2025-11-05,15:00,10:00,朝食付き,OTA,観光,通常期
R03327,c0055,201,2,2025-11-03,2025-11-04,18:00,8:00,素泊まり,OTA,ビジネス,通常期
R03328,c0075,209,2,2025-11-03,2025-11-05,16:00,10:00,素泊まり,OTA,登山,通常期
R03329,c0356,207,1,2025-11-03,2025-11-04,16:00,6:00,素泊まり,直接,登山,通常期
R03330,c0961,214,1,2025-11-03,2025-11-05,15:00,7:00,2食付き,OTA,登山,通常期
R03331,c1574,202,2,2025-11-03,2025-11-05,16:00,10:00,素泊まり,直接,登山,通常期
R03332,c1023,208,1,2025-11-03,2025-11-06,18:00,7:00,2食付き,OTA,ビジネス,通常期
R03333,c1131,217,2,2025-11-03,2025-11-07,17:00,8:00,朝食付き,OTA,ビジネス,通常期
R03334,c1983,205,2,2025-11-03,2025-11-06,18:00,7:00,2食付き,OTA,ビジネス,通常期
R03335,c0842,215,2,2025-11-03,2025-11-05,15:00,10:00,2食付き,OTA,登山,通常期
R03336,c1010,212,2,2025-11-03,2025-11-04,16:00,9:00,素泊まり,直接,観光,通常期
R03337,c1507,207,2,2025-11-04,2025-11-06,17:00,8:00,朝食付き,OTA,登山,通常期
R03338,c0543,201,2,2025-11-04,2025-11-06,19:00,10:00,素泊まり,OTA,遠征,通常期
R03339,c1327,202,1,2025-11-04,2025-11-06,18:00,8:00,2食付き,OTA,ビジネス,通常期
R03340,c1326,211,1,2025-11-04,2025-11-05,18:00,7:00,素泊まり,直接,ビジネス,通常期
R03341,c1798,203,1,2025-11-04,2025-11-08,18:00,7:00,朝食付き,直接,ビジネス,通常期
R03342,c1983,208,2,2025-11-04,2025-11-06,16:00,9:00,朝食付き,直接,登山,通常期
R03343,c0383,216,1,2025-11-04,2025-11-06,17:00,8:00,2食付き,OTA,ビジネス,通常期
R03344,c0060,214,2,2025-11-04,2025-11-06,18:00,10:00,2食付き,OTA,遠征,通常期
R03345,c0448,215,1,2025-11-04,2025-11-07,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R03346,c0290,210,2,2025-11-04,2025-11-05,16:00,5:00,素泊まり,OTA,登山,通常期
R03347,c0809,206,2,2025-11-04,2025-11-08,18:00,7:00,素泊まり,直接,ビジネス,通常期
R03348,c1743,213,1,2025-11-04,2025-11-07,16:00,10:00,朝食付き,直接,観光,通常期
R03349,c0110,213,2,2025-11-05,2025-11-09,18:00,7:00,素泊まり,直接,ビジネス,通常期
R03350,c0990,211,1,2025-11-05,2025-11-06,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R03351,c1805,202,2,2025-11-05,2025-11-06,16:00,10:00,2食付き,直接,観光,通常期
R03352,c0179,216,2,2025-11-05,2025-11-06,18:00,8:00,2食付き,直接,遠征,通常期
R03353,c1082,201,1,2025-11-05,2025-11-07,17:00,7:00,素泊まり,OTA,登山,通常期
R03354,c0060,215,2,2025-11-05,2025-11-08,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R03355,c1873,210,1,2025-11-05,2025-11-07,16:00,9:00,朝食付き,OTA,観光,通常期
R03356,c1168,101,1,2025-11-05,2025-11-06,17:00,10:00,2食付き,OTA,観光,通常期
R03357,c1509,217,1,2025-11-05,2025-11-07,16:00,10:00,2食付き,直接,観光,通常期
R03358,c1595,207,1,2025-11-05,2025-11-09,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R03359,c0876,208,2,2025-11-05,2025-11-06,18:00,8:00,素泊まり,直接,ビジネス,通常期
R03360,c1050,214,1,2025-11-05,2025-11-09,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R03361,c1352,213,2,2025-11-06,2025-11-09,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R03362,c1259,209,1,2025-11-06,2025-11-09,18:00,7:00,素泊まり,OTA,ビジネス,通常期
R03363,c1515,208,1,2025-11-06,2025-11-07,17:00,8:00,朝食付き,直接,登山,通常期
R03364,c0535,202,2,2025-11-06,2025-11-08,17:00,9:00,素泊まり,直接,登山,通常期
R03365,c0050,207,1,2025-11-06,2025-11-09,17:00,10:00,2食付き,OTA,観光,通常期
R03366,c1690,201,2,2025-11-06,2025-11-07,20:00,10:00,素泊まり,OTA,その他,通常期
R03367,c1868,216,1,2025-11-06,2025-11-07,18:00,10:00,素泊まり,OTA,遠征,通常期
R03368,c1685,205,1,2025-11-06,2025-11-08,19:00,8:00,素泊まり,OTA,遠征,通常期
R03369,c0061,211,2,2025-11-06,2025-11-10,18:00,8:00,2食付き,OTA,ビジネス,通常期
R03370,c0427,206,1,2025-11-06,2025-11-08,16:00,9:00,,OTA,観光,通常期
R03371,c0009,101,1,2025-11-06,2025-11-09,17:00,7:00,朝食付き,OTA,ビジネス,通常期
R03372,c1861,214,1,2025-11-06,2025-11-08,17:00,8:00,2食付き,直接,ビジネス,通常期
R03373,c1968,209,2,2025-11-07,2025-11-08,17:00,6:00,2食付き,直接,登山,通常期
R03374,c1229,210,2,2025-11-07,2025-11-11,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R03375,c1307,201,2,2025-11-07,2025-11-10,17:00,9:00,素泊まり,OTA,観光,通常期
R03376,c1390,212,1,2025-11-07,2025-11-09,15:00,9:00,素泊まり,直接,登山,通常期
R03377,c0202,101,2,2025-11-07,2025-11-09,16:00,6:00,素泊まり,OTA,登山,通常期
R03378,c0085,217,1,2025-11-07,2025-11-11,18:00,7:00,素泊まり,直接,ビジネス,通常期
R03379,c1028,211,2,2025-11-07,2025-11-10,16:00,10:00,2食付き,直接,観光,通常期
R03380,c0577,206,1,2025-11-07,2025-11-09,18:00,10:00,朝食付き,OTA,遠征,通常期
R03381,c0834,213,2,2025-11-07,2025-11-08,17:00,9:00,素泊まり,直接,登山,通常期
R03382,c1606,215,2,2025-11-07,2025-11-08,16:00,8:00,素泊まり,OTA,登山,通常期
R03383,c0127,205,1,2025-11-07,2025-11-08,16:00,7:00,素泊まり,直接,登山,通常期
R03384,c1018,214,2,2025-11-07,2025-11-09,16:00,10:00,朝食付き,OTA,観光,通常期
R03385,c0445,203,2,2025-11-07,2025-11-08,16:00,10:00,2食付き,直接,観光,通常期
R03386,c0128,202,2,2025-11-08,2025-11-10,18:00,8:00,朝食付き,直接,ビジネス,通常期
R03387,c0946,207,2,2025-11-08,2025-11-10,17:00,7:00,素泊まり,OTA,登山,通常期
R03388,c0699,208,2,2025-11-08,2025-11-09,16:00,8:00,素泊まり,OTA,登山,通常期
R03389,c0062,213,1,2025-11-08,2025-11-09,16:00,10:00,朝食付き,直接,観光,通常期
R03390,c0318,203,1,2025-11-08,2025-11-10,17:00,9:00,朝食付き,直接,観光,通常期
R03391,c1674,206,2,2025-11-08,2025-11-10,19:00,8:00,朝食付き,OTA,遠征,通常期
R03392,c1678,101,1,2025-11-08,2025-11-09,19:00,8:00,素泊まり,OTA,遠征,通常期
R03393,c1275,214,2,2025-11-08,2025-11-11,18:00,7:00,朝食付き,直接,ビジネス,通常期
R03394,c1987,215,1,2025-11-08,2025-11-12,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R03395,c1681,210,2,2025-11-08,2025-11-10,17:00,8:00,素泊まり,直接,登山,通常期
R03396,c0412,216,1,2025-11-08,2025-11-09,17:00,8:00,朝食付き,直接,ビジネス,通常期
R03397,c1471,201,2,2025-11-08,2025-11-11,18:00,8:00,朝食付き,直接,ビジネス,通常期
R03398,c0861,205,1,2025-11-08,2025-11-12,17:00,7:00,2食付き,OTA,ビジネス,通常期
R03399,c1562,211,1,2025-11-08,2025-11-09,17:00,9:00,素泊まり,直接,その他,通常期
R03400,c0100,217,1,2025-11-08,2025-11-11,17:00,7:00,素泊まり,OTA,ビジネス,通常期
R03401,c0379,209,1,2025-11-08,2025-11-10,17:00,8:00,素泊まり,OTA,ビジネス,通常期
R03402,c0129,212,1,2025-11-08,2025-11-10,17:00,6:00,2食付き,OTA,登山,通常期
